Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,35,88.8,693,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,WD1005FBYZ,WD,Gold 1TB (2016),36,88.5,1619,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,HDWE160XZSTA,Toshiba,X300 6TB,37,88.2,2061,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160EZSTA,Toshiba,X300 6TB,37,88.2,2061,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,WD5001FZWX,WD,Black 5TB (2015),38,88,4473,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,HDWE140XZSTA,Toshiba,X300 4TB,39,88,7645,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE140EZSTA,Toshiba,X300 4TB,39,88,7645,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,40,87.9,837544,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,41,87.6,6563,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),42,87.2,738,https://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,WD2003FZEX,WD,Black 2TB (2013),43,87,70556,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,44,86.8,1797,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,45,86.4,1779,https://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),46,86.3,311,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,ST3000NC002,Seagate,Constellation CS 3TB,47,86.3,349,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,ST500DM009,Seagate,Barracuda 500GB (2016),48,86.2,3720,https://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909
HDD,ST2000NC001,Seagate,Constellation CS 2TB,49,86.2,351,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,ST2000DX002,Seagate,FireCuda SSHD 2TB (2016),50,86.2,62391,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,51,86.1,300,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,0S03835,HGST,Deskstar NAS 5TB,52,85.7,392,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,,Toshiba,DT01ACA300 3TB,53,85,51734,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,HDWD110XZSTA,Toshiba,P300 1TB,54,84.9,117275,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110EZSTA,Toshiba,P300 1TB,54,84.9,117275,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110UZSVA,Toshiba,P300 1TB,54,84.9,117275,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,55,84.7,2033,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,WD1003FZEX,WD,Black 1TB (2013),56,84.6,141709,https://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822
HDD,,Toshiba,DT01ACA200 2TB,57,84.5,160807,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,ST3000VN007,Seagate,IronWolf 3TB (2016),58,84.5,1250,https://hdd.userbenchmark.com/Seagate-IronWolf-3TB-2016/Rating/3905
HDD,ST3000VX010,Seagate,SkyHawk 3TB (2016),59,84.1,827,https://hdd.userbenchmark.com/SpeedTest/237204/ST3000VX010-2E3166
HDD,ST2000VN004,Seagate,IronWolf 2TB (2016),60,83.9,2116,https://hdd.userbenchmark.com/SpeedTest/245098/ST2000VN004-2E4164
HDD,ST4000DM005,Seagate,Barracuda 4TB (2016),61,83.9,18294,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899
HDD,WD40EZRZ,WD,Blue 4TB (2015),62,83.8,45493,https://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523
HDD,WD4001FFSX,WD,Red Pro 4TB (2014),63,83.7,333,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664
HDD,ST1000NM0033,Seagate,Constellation ES.3 1TB,64,83.4,4587,https://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,ST2000DX001,Seagate,Desktop SSHD 2TB,65,83.2,47763,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,STCL2000400,Seagate,Desktop SSHD 2TB,65,83.2,47763,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,WD10EZEX,WD,Blue 1TB (2012),66,83,1533921,https://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779
HDD,PH3400U-1I72,Toshiba,MD04ACA400 4TB,67,82.9,5648,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202
HDD,WD40PURZ,WD,Purple Surveillance 4TB (2017),68,82.7,2130,https://hdd.userbenchmark.com/SpeedTest/433989/WDC-WD40PURZ-85T
HDD,WD60PURZ,WD,Purple Surveillance 6TB (2017),69,81.8,400,https://hdd.userbenchmark.com/SpeedTest/342114/WDC-WD60PURZ-85ZUFY1
HDD,ST2000VX008,Seagate,SkyHawk 2TB (2016),70,81.6,2500,https://hdd.userbenchmark.com/SpeedTest/211060/ST2000VX008-2E3164
HDD,ST1000DX002,Seagate,FireCuda SSHD 1TB (2016),71,81.6,28732,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902
HDD,WD80PURZ,WD,Purple Surveillance 8TB (2017),72,81.5,106,https://hdd.userbenchmark.com/SpeedTest/382445/WDC-WD80PURZ-85YNPY0
HDD,WD3000FYYZ,WD,Re 3TB (2012),73,81.2,785,https://hdd.userbenchmark.com/WD-Re-3TB-2012/Rating/2665
HDD,ST1000DX001,Seagate,Desktop SSHD 1TB,74,81.2,53741,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784
HDD,ST1000VN002,Seagate,IronWolf 1TB (2016),75,80.8,779,https://hdd.userbenchmark.com/Seagate-IronWolf-1TB-2016/Rating/3904
HDD,WD3003FZEX,WD,Black 3TB (2013),76,80.4,10788,https://hdd.userbenchmark.com/SpeedTest/5002/WDC-WD3003FZEX-00Z4SA0
HDD,WD4000FYYZ,WD,Re 4TB (2012),77,80.3,1542,https://hdd.userbenchmark.com/SpeedTest/1815/WDC-WD4000FYYZ-01UL1B0
HDD,,Toshiba,DT01ACA100 1TB,78,80.2,389275,https://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737
HDD,WD60EFAX,WD,Red 6TB (2019),79,80,44,https://hdd.userbenchmark.com/SpeedTest/748440/WDC-WD60EFAX-68SHWN0
HDD,,Hitachi,HDS723030BLE640 3TB,80,79.7,554,https://hdd.userbenchmark.com/SpeedTest/4601/Hitachi-HDS723030BLE640
HDD,WD4000F9YZ,WD,Se 4TB,81,79.6,992,https://hdd.userbenchmark.com/WD-Se-4TB/Rating/1823
HDD,WD1002F9YZ,WD,Se 1TB (2013),82,79.5,1167,https://hdd.userbenchmark.com/SpeedTest/11078/WDC-WD1002F9YZ-09H1JL0
HDD,,Seagate,ST4000DM 000-1CD168 4TB,83,79.3,11,https://hdd.userbenchmark.com/SpeedTest/2310/ST4000DM-000-1CD168
HDD,WD4003FZEX,WD,Black 4TB (2013),84,79.2,11798,https://hdd.userbenchmark.com/SpeedTest/3505/WDC-WD4003FZEX-00Z4SA0
HDD,PH3300U-1I72,Toshiba,MD04ACA300 3TB,85,78.6,100,https://hdd.userbenchmark.com/SpeedTest/31118/TOSHIBA-MD04ACA300
HDD,ST1000VX005,Seagate,SkyHawk 1TB (2016),86,78.5,2294,https://hdd.userbenchmark.com/SpeedTest/225246/ST1000VX005-2EZ102
HDD,ST10000VX0004,Seagate,SkyHawk 10TB (2016),87,78.5,38,https://hdd.userbenchmark.com/SpeedTest/192288/ST10000VX0004-1ZE101
HDD,HDWD105XZSTA,Toshiba,HDWD105 500GB,88,78.4,4452,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105EZSTA,Toshiba,HDWD105 500GB,88,78.4,4452,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105UZSVA,Toshiba,HDWD105 500GB,88,78.4,4452,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,WD60EZRZ,WD,Blue 6TB (2015),89,78.3,3839,https://hdd.userbenchmark.com/WD-Blue-6TB-2015/Rating/3910
HDD,,Seagate,ST2000VM003-1CT164 2TB,90,78.2,7390,https://hdd.userbenchmark.com/SpeedTest/7562/ST2000VM003-1CT164
HDD,WD5003AZEX,WD,Black 500GB (2012),91,77.9,10029,https://hdd.userbenchmark.com/SpeedTest/2070/WDC-WD5003AZEX-00K1GA0
HDD,,Seagate,ST1500DM003-9YN16G 1.5TB,92,77.9,3451,https://hdd.userbenchmark.com/SpeedTest/2739/ST1500DM003-9YN16G
HDD,ST4000DM000,Seagate,Desktop HDD 4TB (2013),93,77.5,31358,https://hdd.userbenchmark.com/Seagate-Desktop-HDD-4TB-2013/Rating/1598
HDD,,Hitachi,HDS723020BLE640 2TB,94,77.5,1528,https://hdd.userbenchmark.com/SpeedTest/1260/Hitachi-HDS723020BLE640
