Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,FF8062700837005,Intel,Core i7-2630QM,554,38.3,22251,https://cpu.userbenchmark.com/Intel-Core-i7-2630QM/Rating/2729
CPU,,Intel,Core i3-3220T,555,38.2,1243,https://cpu.userbenchmark.com/SpeedTest/2602/IntelR-CoreTM-i3-3220T-CPU---280GHz
CPU,,Intel,Core i5-2540M,556,38.2,10574,https://cpu.userbenchmark.com/SpeedTest/1616/IntelR-CoreTM-i5-2540M-CPU---260GHz
CPU,,Intel,Core i3-6157U,557,38.2,218,https://cpu.userbenchmark.com/SpeedTest/187565/IntelR-CoreTM-i3-6157U-CPU---240GHz
CPU,,Intel,Xeon E5620,558,38.1,2012,https://cpu.userbenchmark.com/SpeedTest/6971/IntelR-XeonR-CPU-----------E5620----240GHz
CPU,FD6100WMGUSBX,AMD,FX-6100,559,38,26599,https://cpu.userbenchmark.com/AMD-FX-6100/Rating/1984
CPU,,Intel,Core i5-2520M,560,38,29504,https://cpu.userbenchmark.com/SpeedTest/29/IntelR-CoreTM-i5-2520M-CPU---250GHz
CPU,,AMD,Phenom II X4 B50,561,38,2506,https://cpu.userbenchmark.com/SpeedTest/5205/AMD-Phenomtm-II-X4-B50-Processor
CPU,,Intel,Core i7-2635QM,562,38,269,https://cpu.userbenchmark.com/SpeedTest/12770/IntelR-CoreTM-i7-2635QM-CPU---200GHz
CPU,HDT55TFBGRBOX,AMD,Phenom II X6 1055T,563,38,13644,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1055T/Rating/2003
CPU,,AMD,Phenom II X4 960T,564,38,3135,https://cpu.userbenchmark.com/SpeedTest/1813/AMD-Phenomtm-II-X4-960T-Processor
CPU,,Intel,Core i7-4500U,565,38,24259,https://cpu.userbenchmark.com/Intel-Core-i7-4500U/Rating/2743
CPU,,AMD,Phenom II X4 840,566,37.9,4312,https://cpu.userbenchmark.com/SpeedTest/3302/AMD-Phenomtm-II-X4-840-Processor
CPU,AW8063801032301,Intel,Core i5-3210M,567,37.9,50527,https://cpu.userbenchmark.com/Intel-Core-i5-3210M/Rating/2719
CPU,,Intel,Core i7-3667U,568,37.9,2035,https://cpu.userbenchmark.com/SpeedTest/2815/IntelR-CoreTM-i7-3667U-CPU---200GHz
CPU,,Intel,Core i7-2675QM,569,37.8,740,https://cpu.userbenchmark.com/SpeedTest/597/IntelR-CoreTM-i7-2675QM-CPU---220GHz
CPU,,Intel,Xeon X5460,570,37.7,6258,https://cpu.userbenchmark.com/SpeedTest/5754/IntelR-XeonR-CPU-----------X5460----316GHz
