Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS200T3X0C,WD,Black SN750 NVMe PCIe M.2 2TB (2019),30,274,189,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,31,272,1163,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,32,268,8501,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),33,268,645,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,5MS22AA#ABC,HP,EX950 NVMe PCIe M.2 512GB,34,262,467,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,35,262,3209,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),36,260,3136,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,37,260,18391,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,38,259,30,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,39,248,27837,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,39,248,27837,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,40,247,24499,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),41,247,9341,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,42,242,10387,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,43,241,8637,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,44,239,7465,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,SSDPEKNW020T8X1,Intel,660p NVMe PCIe M.2 2TB,45,238,10868,https://ssd.userbenchmark.com/SpeedTest/610546/INTEL-SSDPEKNW020T8
SSD,CT1000P1SSD8,Crucial,P1 3D NVMe PCIe M.2 1TB,46,238,25763,https://ssd.userbenchmark.com/SpeedTest/607339/CT1000P1SSD8
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),47,236,1178,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,48,235,93122,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),49,233,9638,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,50,232,806,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,2YY45AA#ABC,HP,EX920 NVMe PCIe M.2 256GB,51,228,809,https://ssd.userbenchmark.com/SpeedTest/537061/HP-SSD-EX920-256GB
SSD,SSDPEKKW512G8XT,Intel,760p Series NVMe PCIe M.2 512GB,52,228,3900,https://ssd.userbenchmark.com/SpeedTest/433786/INTEL-SSDPEKKW512G8
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,53,227,215,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,MZVLB512HAJQ,Samsung,PM981 NVMe PCIe M.2 512GB,54,227,31063,https://ssd.userbenchmark.com/SpeedTest/401452/SAMSUNG-MZVLB512HAJQ-000L2
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,55,226,3816,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
